[DEBUG] 2022-10-02 21:19:59.811 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2022-10-02 21:19:59.815 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2022-10-02 21:19:59.818 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2022-10-02 21:19:59.866 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2022-10-02 21:19:59.867 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2022-10-02 21:20:00.061 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2022-10-02 21:20:00.062 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2022-10-02 21:20:00.069 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2022-10-02 21:20:02.943 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2022-10-02 21:20:03.054 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2022-10-02 21:20:03.074 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2022-10-02 21:20:03.209 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2022-10-02 21:20:03.578 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6629ad09
[DEBUG] 2022-10-02 21:20:03.579 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6629ad09
[DEBUG] 2022-10-02 21:20:03.580 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@6629ad09
[DEBUG] 2022-10-02 21:20:03.580 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@c35af2a
[DEBUG] 2022-10-02 21:20:03.597 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@66213a0d
[DEBUG] 2022-10-02 21:20:03.598 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@70c0a3d5
[DEBUG] 2022-10-02 21:20:03.605 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@4f5f6e45
[DEBUG] 2022-10-02 21:20:03.618 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@4f5f6e45
[DEBUG] 2022-10-02 21:20:03.618 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@4f5f6e45
[DEBUG] 2022-10-02 21:20:03.639 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@79316f3a
[DEBUG] 2022-10-02 21:20:03.639 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@79316f3a
[DEBUG] 2022-10-02 21:20:03.639 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@79316f3a
[DEBUG] 2022-10-02 21:20:03.641 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@6fc29daa
[DEBUG] 2022-10-02 21:20:03.641 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@6fc29daa
[DEBUG] 2022-10-02 21:20:03.641 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@6fc29daa
[DEBUG] 2022-10-02 21:20:03.662 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@76db540e
[DEBUG] 2022-10-02 21:20:03.662 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@76db540e
[DEBUG] 2022-10-02 21:20:03.662 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@76db540e
[DEBUG] 2022-10-02 21:20:03.682 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@20de05e5
[DEBUG] 2022-10-02 21:20:03.683 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@20de05e5
[DEBUG] 2022-10-02 21:20:03.683 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@20de05e5
[DEBUG] 2022-10-02 21:20:03.684 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@2af46afd
[DEBUG] 2022-10-02 21:20:03.684 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@2af46afd
[DEBUG] 2022-10-02 21:20:03.684 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@2af46afd
[DEBUG] 2022-10-02 21:20:03.711 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@4eb1c69
[DEBUG] 2022-10-02 21:20:03.711 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@4eb1c69
[DEBUG] 2022-10-02 21:20:03.721 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@4eb1c69
