[DEBUG] 2022-10-02 21:18:28.764 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2022-10-02 21:18:28.779 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2022-10-02 21:18:28.782 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2022-10-02 21:18:28.854 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2022-10-02 21:18:28.856 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2022-10-02 21:18:29.117 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2022-10-02 21:18:29.118 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2022-10-02 21:18:29.125 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2022-10-02 21:18:29.381 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2022-10-02 21:18:29.397 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2022-10-02 21:18:29.398 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2022-10-02 21:18:29.417 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2022-10-02 21:18:29.444 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@b835727
[DEBUG] 2022-10-02 21:18:29.444 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@b835727
[DEBUG] 2022-10-02 21:18:29.445 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@b835727
[DEBUG] 2022-10-02 21:18:29.445 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@3724b43e
[DEBUG] 2022-10-02 21:18:29.445 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@238bfd6c
[DEBUG] 2022-10-02 21:18:29.446 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@7487b142
[DEBUG] 2022-10-02 21:18:29.446 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@150ede8b
[DEBUG] 2022-10-02 21:18:29.446 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@150ede8b
[DEBUG] 2022-10-02 21:18:29.447 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@150ede8b
[DEBUG] 2022-10-02 21:18:29.447 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@5853495b
[DEBUG] 2022-10-02 21:18:29.447 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@5853495b
[DEBUG] 2022-10-02 21:18:29.447 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@5853495b
[DEBUG] 2022-10-02 21:18:29.448 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@21f459fc
[DEBUG] 2022-10-02 21:18:29.448 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@21f459fc
[DEBUG] 2022-10-02 21:18:29.448 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@21f459fc
[DEBUG] 2022-10-02 21:18:29.449 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@1290c49
[DEBUG] 2022-10-02 21:18:29.449 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@1290c49
[DEBUG] 2022-10-02 21:18:29.449 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@1290c49
[DEBUG] 2022-10-02 21:18:29.450 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@6ba7383d
[DEBUG] 2022-10-02 21:18:29.450 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@6ba7383d
[DEBUG] 2022-10-02 21:18:29.450 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@6ba7383d
[DEBUG] 2022-10-02 21:18:29.451 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@1b9776f5
[DEBUG] 2022-10-02 21:18:29.451 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@1b9776f5
[DEBUG] 2022-10-02 21:18:29.451 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@1b9776f5
[DEBUG] 2022-10-02 21:18:29.451 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@56913163
[DEBUG] 2022-10-02 21:18:29.452 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@56913163
[DEBUG] 2022-10-02 21:18:29.452 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@56913163
[DEBUG] 2022-10-02 21:18:29.452 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@2418ba04
[DEBUG] 2022-10-02 21:18:29.452 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@2418ba04
[DEBUG] 2022-10-02 21:18:29.453 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@e8e0dec
[DEBUG] 2022-10-02 21:18:29.453 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@e8e0dec
