[DEBUG] 2022-10-06 18:53:25.265 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2022-10-06 18:53:25.270 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2022-10-06 18:53:25.274 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2022-10-06 18:53:25.335 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2022-10-06 18:53:25.337 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2022-10-06 18:53:25.483 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2022-10-06 18:53:25.484 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2022-10-06 18:53:25.488 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2022-10-06 18:53:25.698 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2022-10-06 18:53:25.715 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2022-10-06 18:53:25.716 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2022-10-06 18:53:25.737 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2022-10-06 18:53:25.765 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@4cdb8504
[DEBUG] 2022-10-06 18:53:25.766 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@4cdb8504
[DEBUG] 2022-10-06 18:53:25.766 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@4cdb8504
[DEBUG] 2022-10-06 18:53:25.766 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@3a175162
[DEBUG] 2022-10-06 18:53:25.767 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@20de05e5
[DEBUG] 2022-10-06 18:53:25.767 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@382c90c2
[DEBUG] 2022-10-06 18:53:25.768 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@6ff6efdc
[DEBUG] 2022-10-06 18:53:25.768 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@6ff6efdc
[DEBUG] 2022-10-06 18:53:25.768 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@6ff6efdc
[DEBUG] 2022-10-06 18:53:25.769 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@74d3b638
[DEBUG] 2022-10-06 18:53:25.769 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@74d3b638
[DEBUG] 2022-10-06 18:53:25.769 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@74d3b638
[DEBUG] 2022-10-06 18:53:25.770 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@396ef8b2
[DEBUG] 2022-10-06 18:53:25.770 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@396ef8b2
[DEBUG] 2022-10-06 18:53:25.770 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@396ef8b2
[DEBUG] 2022-10-06 18:53:25.773 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@4cfa8227
[DEBUG] 2022-10-06 18:53:25.773 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@4cfa8227
[DEBUG] 2022-10-06 18:53:25.773 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@4cfa8227
[DEBUG] 2022-10-06 18:53:25.775 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@2ec3633f
[DEBUG] 2022-10-06 18:53:25.775 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@2ec3633f
[DEBUG] 2022-10-06 18:53:25.776 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@2ec3633f
[DEBUG] 2022-10-06 18:53:25.777 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@119c745c
[DEBUG] 2022-10-06 18:53:25.777 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@119c745c
[DEBUG] 2022-10-06 18:53:25.777 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@119c745c
[DEBUG] 2022-10-06 18:53:25.780 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@3db972d2
[DEBUG] 2022-10-06 18:53:25.780 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@3db972d2
[DEBUG] 2022-10-06 18:53:25.780 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@3db972d2
[DEBUG] 2022-10-06 18:53:25.782 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@5c448433
[DEBUG] 2022-10-06 18:53:25.783 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@5c448433
[DEBUG] 2022-10-06 18:53:25.784 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@158f4cfe
[DEBUG] 2022-10-06 18:53:25.784 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@158f4cfe
[DEBUG] 2022-10-06 18:53:25.785 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@7dd611c8
[DEBUG] 2022-10-06 18:53:25.786 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@7dd611c8
[DEBUG] 2022-10-06 18:53:25.787 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@278667fd
[DEBUG] 2022-10-06 18:53:25.787 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@e042c99
